STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,Personal income (Thousands of dollars) ,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Florida,Flagler County,115081,2996,807,1385,-578,21,3537,3558,16,684,7.104936478,12.19372617,-5.088789696,0.184886823,31.14022345,31.32511027,5630174,81,15,,,,,
Florida,Franklin County,12125,449,94,111,-17,2,458,460,6,1763,7.89882778,9.327339187,-1.428511407,0.168060166,38.48577791,38.65383807,450233,,,,,,,
Florida,Gadsden County,45660,-267,520,522,-2,41,-303,-262,-3,3269,11.35532335,11.39899767,-0.043674321,0.895323572,-6.61665957,-5.721335997,1630214,35,15,,,12,,25
Florida,Gilchrist County,18582,298,182,206,-24,3,318,321,1,1208,9.873596268,11.17560896,-1.302012695,0.162751587,17.2516682,17.41441979,632729,18,20,,,,,
Florida,Glades County,13811,125,64,129,-65,15,173,188,2,1468,4.655053279,9.382841765,-4.727788486,1.091028112,12.58319089,13.67421901,355728,12,17,,,,,
Florida,Gulf County,13639,-2507,112,186,-74,-2,-2461,-2463,30,399,7.520564042,12.48950814,-4.968944099,-0.134295786,-165.2509653,-165.385261,614962,14,18,,,,,
Florida,Hamilton County,14428,166,164,129,35,-2,132,130,1,2707,11.4325549,8.992680376,2.439874521,-0.139421401,9.201812478,9.062391077,389014,12,17,,,,,
Florida,Hardee County,26937,-231,339,193,146,-2,-376,-378,1,1595,12.53118935,7.134275945,5.396913409,-0.073930321,-13.89890029,-13.97283061,761001,14,10,,,,,
Florida,Hendry County,42022,686,576,356,220,341,126,467,-1,696,13.81990931,8.541471724,5.278437583,8.181578253,3.023105161,11.20468341,1342874,38,19,,,,11,30
Florida,Hernando County,193920,3338,1597,2850,-1253,50,4530,4580,11,1833,8.306848859,14.82437022,-6.517521365,0.260076671,23.56294636,23.82302303,7501870,139,15,,,,9,16
Florida,Highlands County,106221,1288,854,1627,-773,258,1799,2057,4,1733,8.088882995,15.41055344,-7.32167044,2.443714067,17.03969615,19.48341021,3646058,96,19,,,29,,21
Florida,Hillsborough County,1471968,20049,17267,11696,5571,5266,9183,14449,29,23499,11.81098996,8.000309178,3.810680782,3.602054389,6.281364499,9.883418887,71733512,828,12,,3,16,6,14
Florida,Holmes County,19617,174,198,250,-52,-3,228,225,1,1759,10.13824885,12.80081925,-2.662570405,-0.153609831,11.67434716,11.52073733,632977,19,19,,,,,
Florida,Indian River County,159923,2736,1283,2177,-894,205,3407,3612,18,1328,8.091829334,13.73025133,-5.638421999,1.292926745,21.4878118,22.78073855,13296817,115,15,,,15,,17
