State,County,Average Number of guns
Virginia,Pulaski,3240.231579
Virginia,Rappahannock,3240.231579
Virginia,Richmond,3240.231579
Virginia,Roanoke,3240.231579
Virginia,Rockbridge,3240.231579
Virginia,Rockingham,3240.231579
Virginia,Russell,3240.231579
Virginia,Scott,3240.231579
Virginia,Shenandoah,3240.231579
Virginia,Smyth,3240.231579
Virginia,Southampton,3240.231579
Virginia,Spotsylvania,3240.231579
Virginia,Stafford,3240.231579
Virginia,Surry,3240.231579
Virginia,Sussex,3240.231579
Virginia,Tazewell,3240.231579
Virginia,Warren,3240.231579
Virginia,Washington County,3240.231579
Virginia,Westmoreland,3240.231579
Virginia,Wise,3240.231579
Virginia,Wythe,3240.231579
Virginia,York,3240.231579
Washington,Adams,2354.74359
Washington,Asotin,2354.74359
Washington,Benton,2354.74359
Washington,Chelan,2354.74359
Washington,Clallam,2354.74359
Washington,Clark,2354.74359
Washington,Columbia,2354.74359
Washington,Cowlitz,2354.74359
Washington,Douglas,2354.74359
Washington,Ferry,2354.74359
Washington,Franklin,2354.74359
Washington,Garfield,2354.74359
Washington,Grant,2354.74359
Washington,Grays Harbor,2354.74359
Washington,Island,2354.74359
Washington,Jefferson,2354.74359
Washington,King,2354.74359
Washington,Kitsap,2354.74359
Washington,Kittitas,2354.74359
Washington,Klickitat,2354.74359
Washington,Lewis,2354.74359
Washington,Lincoln,2354.74359
Washington,Mason,2354.74359
Washington,Okanogan,2354.74359
Washington,Pacific,2354.74359
Washington,Pend Oreille,2354.74359
Washington,Pierce,2354.74359
Washington,San Juan,2354.74359
Washington,Skagit,2354.74359
Washington,Skamania,2354.74359
Washington,Snohomish,2354.74359
Washington,Spokane,2354.74359
Washington,Stevens,2354.74359
Washington,Thurston,2354.74359
Washington,Wahkiakum,2354.74359
Washington,Walla Walla,2354.74359
Washington,Whatcom,2354.74359
Washington,Whitman,2354.74359
Washington,Yakima,2354.74359
West Virginia,Barbour,641.1636364
West Virginia,Berkeley,641.1636364
West Virginia,Boone,641.1636364
West Virginia,Braxton,641.1636364
West Virginia,Brooke,641.1636364
West Virginia,Cabell,641.1636364
West Virginia,Calhoun,641.1636364
West Virginia,Clay,641.1636364
West Virginia,Doddridge,641.1636364
West Virginia,Fayette,641.1636364
West Virginia,Gilmer,641.1636364
West Virginia,Grant,641.1636364
West Virginia,Greenbrier,641.1636364
West Virginia,Hampshire,641.1636364
West Virginia,Hancock,641.1636364
West Virginia,Hardy,641.1636364
West Virginia,Harrison,641.1636364
West Virginia,Jackson,641.1636364
West Virginia,Jefferson,641.1636364
West Virginia,Kanawha,641.1636364
West Virginia,Lewis,641.1636364
West Virginia,Lincoln,641.1636364
West Virginia,Logan,641.1636364
West Virginia,McDowell,641.1636364
West Virginia,Marion,641.1636364
West Virginia,Marshall,641.1636364
West Virginia,Mason,641.1636364
West Virginia,Mercer,641.1636364
West Virginia,Mineral,641.1636364
West Virginia,Mingo,641.1636364
West Virginia,Monongalia,641.1636364
West Virginia,Monroe,641.1636364
West Virginia,Morgan,641.1636364
West Virginia,Nicholas,641.1636364
West Virginia,Ohio County,641.1636364
West Virginia,Pendleton,641.1636364
West Virginia,Pleasants,641.1636364
West Virginia,Pocahontas,641.1636364
West Virginia,Preston,641.1636364
West Virginia,Putnam,641.1636364
West Virginia,Raleigh,641.1636364
West Virginia,Randolph,641.1636364
West Virginia,Ritchie,641.1636364
West Virginia,Roane,641.1636364
West Virginia,Summers,641.1636364
West Virginia,Taylor,641.1636364
West Virginia,Tucker,641.1636364
West Virginia,Tyler,641.1636364
West Virginia,Upshur,641.1636364
West Virginia,Wayne,641.1636364
West Virginia,Webster,641.1636364
West Virginia,Wetzel,641.1636364
West Virginia,Wirt,641.1636364
West Virginia,Wood,641.1636364
West Virginia,Wyoming County,641.1636364
Wisconsin,Adams,901.0833333
Wisconsin,Ashland,901.0833333
Wisconsin,Barron,901.0833333
Wisconsin,Bayfield,901.0833333
Wisconsin,Brown,901.0833333
Wisconsin,Buffalo,901.0833333
Wisconsin,Burnett,901.0833333
Wisconsin,Calumet,901.0833333
Wisconsin,Chippewa,901.0833333
Wisconsin,Clark,901.0833333
Wisconsin,Columbia,901.0833333
Wisconsin,Crawford,901.0833333
Wisconsin,Dane,901.0833333
Wisconsin,Dodge,901.0833333
Wisconsin,Door,901.0833333
Wisconsin,Douglas,901.0833333
Wisconsin,Dunn,901.0833333
Wisconsin,Eau Claire,901.0833333
Wisconsin,Florence,901.0833333
Wisconsin,Fond Du Lac,901.0833333
Wisconsin,Forest,901.0833333
Wisconsin,Grant,901.0833333
Wisconsin,Green,901.0833333
Wisconsin,Green Lake,901.0833333
Wisconsin,Iowa County,901.0833333
Wisconsin,Iron,901.0833333
Wisconsin,Jackson,901.0833333
Wisconsin,Jefferson,901.0833333
Wisconsin,Juneau,901.0833333
Wisconsin,Kenosha,901.0833333
